Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
MCXK;CH0009042356;DJES Mid USD (Price);Eurozone;Size;USD;Price;11-Oct-99
MCXT;CH0009109742;DJES Mid EUR (Return);Eurozone;Size;EUR;Return;11-Oct-99
MCXU;CH0009109809;DJES Mid USD (Return);Eurozone;Size;USD;Return;11-Oct-99
SCXE;CH0009107456;DJES Small EUR (Price);Eurozone;Size;EUR;Price;11-Oct-99
SCXK;CH0009107464;DJES Small USD (Price);Eurozone;Size;USD;Price;11-Oct-99
SCXT;CH0009107472;DJES Small EUR (Return);Eurozone;Size;EUR;Return;11-Oct-99
SCXU;CH0009107480;DJES Small USD (Return);Eurozone;Size;USD;Return;11-Oct-99
XBCHF;CH0011440226;DJES TMI Large EUR (Price);Eurozone;Size;EUR;Price;20-Nov-00
XBCHG;CH0011440267;DJES TMI Large EUR (Return);Eurozone;Size;EUR;Return;20-Nov-00
XBCHH;CH0011440242;DJES TMI Large USD (Price);Eurozone;Size;USD;Price;20-Nov-00
XBCHI;CH0011440291;DJES TMI Large USD (Return);Eurozone;Size;USD;Return;20-Nov-00
XBCNF;CH0011440879;DJES TMI Mid EUR (Price);Eurozone;Size;EUR;Price;20-Nov-00
XBCNG;CH0011440994;DJES TMI Mid EUR (Return);Eurozone;Size;EUR;Return;20-Nov-00
XBCNH;CH0011440903;DJES TMI Mid USD (Price);Eurozone;Size;USD;Price;20-Nov-00
XBCNI;CH0011441059;DJES TMI Mid USD (Return);Eurozone;Size;USD;Return;20-Nov-00
XBCGF;CH0011441091;DJES TMI Small EUR (Price);Eurozone;Size;EUR;Price;20-Nov-00
XBCGG;CH0011443337;DJES TMI Small EUR (Return);Eurozone;Size;EUR;Return;20-Nov-00
